yr2011_LSOA,MSOA_Code,County_Code,CCG_Code,CCG_Name,ICS_Code,ICS_Name,Region_Name
E01016016,E02003328,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016017,E02003328,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016018,E02003335,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016019,E02003328,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016020,E02003334,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016021,E02003334,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016022,E02003334,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016023,E02003335,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016024,E02003335,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016025,E02003340,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016026,E02003341,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016027,E02003341,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016028,E02003341,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016029,E02003341,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016030,E02003323,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016031,E02003325,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016032,E02003323,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016033,E02003322,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016034,E02003323,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016035,E02003320,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016036,E02003322,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016037,E02003322,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016038,E02003323,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016039,E02003322,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016040,E02003326,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016041,E02003325,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016042,E02003326,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016043,E02003326,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016044,E02003329,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016045,E02003325,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016046,E02003329,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016047,E02003329,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016048,E02003329,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016049,E02003325,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016050,E02003348,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016051,E02003348,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016052,E02003348,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016053,E02003348,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016054,E02003348,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016055,E02003351,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016056,E02003351,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016057,E02003351,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016058,E02003344,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016059,E02003344,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016060,E02003351,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016061,E02003333,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
E01016062,E02003335,E99999999,91Q,NHS KENT AND MEDWAY CCG,QKS,KENT AND MEDWAY STP,SOUTH EAST
